username,tweetcreatedts,text
siabay,2021-12-16 23:54:54,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
zuzuzumipaaaan,2021-12-16 23:54:42,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
calon_parumaen,2021-12-16 23:54:36,"Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman #Omicron. 

Lha #Omicron saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa 😷"
rimaleerzahs,2021-12-16 23:54:34,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
AlyPawank,2021-12-16 23:54:30,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
calon_parumaen,2021-12-16 23:54:29,"Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?

Kalau sudah bobol #Omicron, keselamatan seluruh warga negara jadinya terancam kan 🙃"
calon_parumaen,2021-12-16 23:54:23,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
zahra_parawansa,2021-12-16 23:54:13,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
yusufkurasal,2021-12-16 23:53:30,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
serayunoona,2021-12-16 23:53:23,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan."
drpriono1,2021-12-16 23:53:12,"Nah, #Omicron ketahuan..kau bukan yg pertama, tapi keinginan engkau yg terakhir. Kau bikin panik, banyak orang minta booster vaksin, walaupun belum mendesak. Saat ini tingkat Kekebalan penduduk Indonesia masih bisa diandalkan. Kita tuntaskan dulu vaksinasi ke 2 bagi yg belum. https://t.co/0mUt85iHxR"
sambeltrashy,2021-12-16 23:53:01,"Bagaimana gejalanya? Sejauh ini data di dunia menyatakan lebih ringan dibanding Delta. Gejala #omicron didominasi badan pegal2, meriang, pilek dan radang tenggorokan ringan. Batuk kering dan anosmia seperti pada Delta sedikit dilaporkan."
salahkiriapa,2021-12-16 23:52:54,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
hanya_paa,2021-12-16 23:52:48,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
bukanjerapah,2021-12-16 23:52:12,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
KimiRamen,2021-12-16 23:52:07,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
mulkimaolah,2021-12-16 23:51:51,"Mestinya tidak ada privilege apapun untuk karantina, apalagi ada ancaman #Omicron. 

Lha #Omicron saja tidak perlu pilih-pilih, mau hinggap di tubuh pejabat atau orang biasa 😷"
mulkimaolah,2021-12-16 23:51:49,"Aturan karantina itu dibuat untuk segelintir orang-orang terhormat saja atau untuk keselamatan warga negara secara keseluruhan sih?

Kalau sudah bobol #Omicron, keselamatan seluruh warga negara jadinya terancam kan 🙃"
la_iqbal23,2021-12-16 23:51:48,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
mulkimaolah,2021-12-16 23:51:47,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
muggle_lily,2021-12-16 23:51:41,"Terkait #Omicron, apakah Indonesia kecolongan lagi?

Bagaimana tidak kecolongan, aturan karantina perjalanan luar negeri saja bimbang. Terakhir, malah ada pengecualian untuk orang-orang terhormat 😷"
mengcapek,2021-12-16 23:51:33,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
canny_shoeple,2021-12-16 23:51:24,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
rusmiiati,2021-12-16 23:51:20,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
